economy,period
Thailand,2014Q04
Timor-Leste,2014Q04
Togo,2014Q04
Tonga,2014Q04
Trinidad and Tobago,2014Q04
Tunisia,2014Q04
Turkiye,2014Q04
Tuvalu,2014Q04
Ukraine,2014Q04
United Arab Emirates,2014Q04
United Kingdom,2014Q04
United Republic of Tanzania,2014Q04
United States,2014Q04
United States Virgin Islands,2014Q04
Uruguay,2014Q04
Vanuatu,2014Q04
Venezuela (Bolivarian Rep. of),2014Q04
Viet Nam,2014Q04
Wallis and Futuna Islands,2014Q04
Yemen,2014Q04
Albania,2015Q01
Algeria,2015Q01
American Samoa,2015Q01
Angola,2015Q01
Anguilla,2015Q01
Antigua and Barbuda,2015Q01
Argentina,2015Q01
Aruba,2015Q01
Australia,2015Q01
Bahamas,2015Q01
Bahrain,2015Q01
Bangladesh,2015Q01
Barbados,2015Q01
Belgium,2015Q01
Belize,2015Q01
Benin,2015Q01
Bermuda,2015Q01
"Bonaire, Sint Eustatius and Saba",2015Q01
Brazil,2015Q01
British Virgin Islands,2015Q01
Brunei Darussalam,2015Q01
Bulgaria,2015Q01
Cabo Verde,2015Q01
Cambodia,2015Q01
Cameroon,2015Q01
Canada,2015Q01
Cayman Islands,2015Q01
Chile,2015Q01
China,2015Q01
"China, Hong Kong SAR",2015Q01
"China, Taiwan Province of",2015Q01
Christmas Island,2015Q01
Colombia,2015Q01
Comoros,2015Q01
Congo,2015Q01
Cook Islands,2015Q01
Costa Rica,2015Q01
Cote d'Ivoire,2015Q01
Croatia,2015Q01
Cuba,2015Q01
Curacao,2015Q01
Cyprus,2015Q01
Dem. Rep. of the Congo,2015Q01
Denmark,2015Q01
Djibouti,2015Q01
Dominica,2015Q01
Dominican Republic,2015Q01
Ecuador,2015Q01
Egypt,2015Q01
El Salvador,2015Q01
Equatorial Guinea,2015Q01
Eritrea,2015Q01
Estonia,2015Q01
Faroe Islands,2015Q01
Fiji,2015Q01
Finland,2015Q01
France,2015Q01
French Guiana,2015Q01
French Polynesia,2015Q01
Gabon,2015Q01
Gambia,2015Q01
Georgia,2015Q01
Germany,2015Q01
Ghana,2015Q01
Gibraltar,2015Q01
Greece,2015Q01
Greenland,2015Q01
Grenada,2015Q01
Guadeloupe,2015Q01
Guam,2015Q01
Guatemala,2015Q01
Guinea,2015Q01
Guinea-Bissau,2015Q01
Guyana,2015Q01
Haiti,2015Q01
Honduras,2015Q01
Iceland,2015Q01
India,2015Q01
Indonesia,2015Q01
Iran (Islamic Republic of),2015Q01
Iraq,2015Q01
Ireland,2015Q01
Israel,2015Q01
Italy,2015Q01
Jamaica,2015Q01
Japan,2015Q01
Jordan,2015Q01
Kenya,2015Q01
Kiribati,2015Q01
Kuwait,2015Q01
Latvia,2015Q01
Lebanon,2015Q01
Liberia,2015Q01
Libya,2015Q01
Lithuania,2015Q01
Madagascar,2015Q01
Malaysia,2015Q01
Maldives,2015Q01
Malta,2015Q01
Marshall Islands,2015Q01
Martinique,2015Q01
Mauritania,2015Q01
Mauritius,2015Q01
Mayotte,2015Q01
Mexico,2015Q01
Micronesia (Federated States of),2015Q01
Montenegro,2015Q01
Montserrat,2015Q01
Morocco,2015Q01
Mozambique,2015Q01
Myanmar,2015Q01
Namibia,2015Q01
Nauru,2015Q01
Netherlands (Kingdom of the),2015Q01
Netherlands Antilles,2015Q01
New Caledonia,2015Q01
New Zealand,2015Q01
Nicaragua,2015Q01
Nigeria,2015Q01
Norfolk Island,2015Q01
Northern Mariana Islands,2015Q01
Norway,2015Q01
Oman,2015Q01
Pakistan,2015Q01
Palau,2015Q01
Panama,2015Q01
Papua New Guinea,2015Q01
Paraguay,2015Q01
Peru,2015Q01
Philippines,2015Q01
Poland,2015Q01
Portugal,2015Q01
Puerto Rico,2015Q01
Qatar,2015Q01
Republic of Korea,2015Q01
Republic of Moldova,2015Q01
Reunion,2015Q01
Romania,2015Q01
Russian Federation,2015Q01
Saint Kitts and Nevis,2015Q01
Saint Lucia,2015Q01
Saint Vincent and the Grenadines,2015Q01
Samoa,2015Q01
Sao Tome and Principe,2015Q01
Saudi Arabia,2015Q01
Senegal,2015Q01
Serbia and Montenegro,2015Q01
Seychelles,2015Q01
Sierra Leone,2015Q01
Singapore,2015Q01
Sint Maarten (Dutch part),2015Q01
Slovenia,2015Q01
Solomon Islands,2015Q01
Somalia,2015Q01
South Africa,2015Q01
Spain,2015Q01
Sri Lanka,2015Q01
Sudan,2015Q01
Sudan (...2011),2015Q01
Suriname,2015Q01
Sweden,2015Q01
Syrian Arab Republic,2015Q01
Thailand,2015Q01
Timor-Leste,2015Q01
Togo,2015Q01
Tonga,2015Q01
Trinidad and Tobago,2015Q01
Tunisia,2015Q01
Turkiye,2015Q01
Tuvalu,2015Q01
Ukraine,2015Q01
United Arab Emirates,2015Q01
United Kingdom,2015Q01
United Republic of Tanzania,2015Q01
United States,2015Q01
United States Virgin Islands,2015Q01
Uruguay,2015Q01
Vanuatu,2015Q01
Venezuela (Bolivarian Rep. of),2015Q01
Viet Nam,2015Q01
Wallis and Futuna Islands,2015Q01
Yemen,2015Q01
Albania,2015Q02
Algeria,2015Q02
American Samoa,2015Q02
Angola,2015Q02
Anguilla,2015Q02
Antigua and Barbuda,2015Q02
Argentina,2015Q02
Aruba,2015Q02
Australia,2015Q02
Bahamas,2015Q02
Bahrain,2015Q02
Bangladesh,2015Q02
Barbados,2015Q02
Belgium,2015Q02
Belize,2015Q02
Benin,2015Q02
Bermuda,2015Q02
"Bonaire, Sint Eustatius and Saba",2015Q02
Brazil,2015Q02
British Virgin Islands,2015Q02
Brunei Darussalam,2015Q02
Bulgaria,2015Q02
Cabo Verde,2015Q02
Cambodia,2015Q02
Cameroon,2015Q02
Canada,2015Q02
Cayman Islands,2015Q02
Chile,2015Q02
China,2015Q02
"China, Hong Kong SAR",2015Q02
"China, Taiwan Province of",2015Q02
Colombia,2015Q02
Comoros,2015Q02
Congo,2015Q02
Cook Islands,2015Q02
Costa Rica,2015Q02
Cote d'Ivoire,2015Q02
Croatia,2015Q02
Cuba,2015Q02
Curacao,2015Q02
Cyprus,2015Q02
Dem. Rep. of the Congo,2015Q02
Denmark,2015Q02
Djibouti,2015Q02
Dominica,2015Q02
Dominican Republic,2015Q02
Ecuador,2015Q02
Egypt,2015Q02
El Salvador,2015Q02
Equatorial Guinea,2015Q02
Eritrea,2015Q02
Estonia,2015Q02
Faroe Islands,2015Q02
Fiji,2015Q02
Finland,2015Q02
France,2015Q02
French Guiana,2015Q02
French Polynesia,2015Q02
Gabon,2015Q02
Gambia,2015Q02
Georgia,2015Q02
Germany,2015Q02
Ghana,2015Q02
Gibraltar,2015Q02
Greece,2015Q02
Greenland,2015Q02
Grenada,2015Q02
Guadeloupe,2015Q02
Guam,2015Q02
Guatemala,2015Q02
Guinea,2015Q02
Guinea-Bissau,2015Q02
Guyana,2015Q02
Haiti,2015Q02
Honduras,2015Q02
Iceland,2015Q02
India,2015Q02
Indonesia,2015Q02
Iran (Islamic Republic of),2015Q02
Iraq,2015Q02
Ireland,2015Q02
Israel,2015Q02
Italy,2015Q02
Jamaica,2015Q02
Japan,2015Q02
Jordan,2015Q02
Kenya,2015Q02
Kiribati,2015Q02
Kuwait,2015Q02
Latvia,2015Q02
Lebanon,2015Q02
Liberia,2015Q02
Libya,2015Q02
Lithuania,2015Q02
Madagascar,2015Q02
Malaysia,2015Q02
Maldives,2015Q02
Malta,2015Q02
Marshall Islands,2015Q02
Martinique,2015Q02
Mauritania,2015Q02
Mauritius,2015Q02
Mayotte,2015Q02
Mexico,2015Q02
Micronesia (Federated States of),2015Q02
Montenegro,2015Q02
Montserrat,2015Q02
Morocco,2015Q02
Mozambique,2015Q02
Myanmar,2015Q02
Namibia,2015Q02
Nauru,2015Q02
Netherlands (Kingdom of the),2015Q02
Netherlands Antilles,2015Q02
New Caledonia,2015Q02
New Zealand,2015Q02
Nicaragua,2015Q02
Nigeria,2015Q02
Norfolk Island,2015Q02
Northern Mariana Islands,2015Q02
Norway,2015Q02
Oman,2015Q02
Pakistan,2015Q02
Palau,2015Q02
Panama,2015Q02
Papua New Guinea,2015Q02
Paraguay,2015Q02
Peru,2015Q02
Philippines,2015Q02
Poland,2015Q02
Portugal,2015Q02
Puerto Rico,2015Q02
Qatar,2015Q02
Republic of Korea,2015Q02
Republic of Moldova,2015Q02
Reunion,2015Q02
Romania,2015Q02
Russian Federation,2015Q02
Saint Kitts and Nevis,2015Q02
Saint Lucia,2015Q02
Saint Vincent and the Grenadines,2015Q02
Samoa,2015Q02
Sao Tome and Principe,2015Q02
Saudi Arabia,2015Q02
Senegal,2015Q02
Serbia and Montenegro,2015Q02
Seychelles,2015Q02
Sierra Leone,2015Q02
Singapore,2015Q02
Sint Maarten (Dutch part),2015Q02
Slovenia,2015Q02
Solomon Islands,2015Q02
Somalia,2015Q02
South Africa,2015Q02
Spain,2015Q02
Sri Lanka,2015Q02
Sudan,2015Q02
Sudan (...2011),2015Q02
Suriname,2015Q02
Sweden,2015Q02
Syrian Arab Republic,2015Q02
Thailand,2015Q02
Timor-Leste,2015Q02
Togo,2015Q02
Tonga,2015Q02
Trinidad and Tobago,2015Q02
Tunisia,2015Q02
Turkiye,2015Q02
Tuvalu,2015Q02
Ukraine,2015Q02
United Arab Emirates,2015Q02
United Kingdom,2015Q02
United Republic of Tanzania,2015Q02
United States,2015Q02
United States Virgin Islands,2015Q02
Uruguay,2015Q02
Vanuatu,2015Q02
Venezuela (Bolivarian Rep. of),2015Q02
Viet Nam,2015Q02
Wallis and Futuna Islands,2015Q02
Yemen,2015Q02
Albania,2015Q03
Algeria,2015Q03
American Samoa,2015Q03
Angola,2015Q03
Anguilla,2015Q03
Antigua and Barbuda,2015Q03
Argentina,2015Q03
Aruba,2015Q03
Australia,2015Q03
Bahamas,2015Q03
Bahrain,2015Q03
Bangladesh,2015Q03
Barbados,2015Q03
Belgium,2015Q03
Belize,2015Q03
Benin,2015Q03
Bermuda,2015Q03
"Bonaire, Sint Eustatius and Saba",2015Q03
Brazil,2015Q03
British Virgin Islands,2015Q03
Brunei Darussalam,2015Q03
Bulgaria,2015Q03
Cabo Verde,2015Q03
Cambodia,2015Q03
Cameroon,2015Q03
Canada,2015Q03
Cayman Islands,2015Q03
Chile,2015Q03
China,2015Q03
"China, Hong Kong SAR",2015Q03
"China, Taiwan Province of",2015Q03
Colombia,2015Q03
Comoros,2015Q03
Congo,2015Q03
Cook Islands,2015Q03
Costa Rica,2015Q03
Cote d'Ivoire,2015Q03
Croatia,2015Q03
Cuba,2015Q03
Curacao,2015Q03
Cyprus,2015Q03
Dem. Rep. of the Congo,2015Q03
Denmark,2015Q03
Djibouti,2015Q03
Dominica,2015Q03
Dominican Republic,2015Q03
Ecuador,2015Q03
Egypt,2015Q03
El Salvador,2015Q03
Equatorial Guinea,2015Q03
Eritrea,2015Q03
Estonia,2015Q03
Faroe Islands,2015Q03
Fiji,2015Q03
Finland,2015Q03
France,2015Q03
French Guiana,2015Q03
French Polynesia,2015Q03
Gabon,2015Q03
Gambia,2015Q03
Georgia,2015Q03
Germany,2015Q03
Ghana,2015Q03
Gibraltar,2015Q03
Greece,2015Q03
Greenland,2015Q03
Grenada,2015Q03
Guadeloupe,2015Q03
Guam,2015Q03
Guatemala,2015Q03
Guinea,2015Q03
Guinea-Bissau,2015Q03
Guyana,2015Q03
Haiti,2015Q03
Honduras,2015Q03
Iceland,2015Q03
India,2015Q03
Indonesia,2015Q03
Iran (Islamic Republic of),2015Q03
Iraq,2015Q03
Ireland,2015Q03
Israel,2015Q03
Italy,2015Q03
Jamaica,2015Q03
Japan,2015Q03
Jordan,2015Q03
Kenya,2015Q03
Kiribati,2015Q03
Kuwait,2015Q03
Latvia,2015Q03
Lebanon,2015Q03
Liberia,2015Q03
Libya,2015Q03
Lithuania,2015Q03
Madagascar,2015Q03
Malaysia,2015Q03
Maldives,2015Q03
Malta,2015Q03
Marshall Islands,2015Q03
Martinique,2015Q03
Mauritania,2015Q03
Mauritius,2015Q03
Mayotte,2015Q03
Mexico,2015Q03
Micronesia (Federated States of),2015Q03
Montenegro,2015Q03
Montserrat,2015Q03
Morocco,2015Q03
Mozambique,2015Q03
Myanmar,2015Q03
Namibia,2015Q03
Nauru,2015Q03
Netherlands (Kingdom of the),2015Q03
Netherlands Antilles,2015Q03
New Caledonia,2015Q03
New Zealand,2015Q03
Nicaragua,2015Q03
Nigeria,2015Q03
Norfolk Island,2015Q03
Northern Mariana Islands,2015Q03
Norway,2015Q03
Oman,2015Q03
Pakistan,2015Q03
Panama,2015Q03
Papua New Guinea,2015Q03
Paraguay,2015Q03
Peru,2015Q03
Philippines,2015Q03
Poland,2015Q03
Portugal,2015Q03
Puerto Rico,2015Q03
Qatar,2015Q03
Republic of Korea,2015Q03
Republic of Moldova,2015Q03
Reunion,2015Q03
Romania,2015Q03
Russian Federation,2015Q03
Saint Kitts and Nevis,2015Q03
Saint Lucia,2015Q03
Saint Vincent and the Grenadines,2015Q03
Samoa,2015Q03
Sao Tome and Principe,2015Q03
Saudi Arabia,2015Q03
Senegal,2015Q03
Serbia and Montenegro,2015Q03
Seychelles,2015Q03
Sierra Leone,2015Q03
Singapore,2015Q03
Sint Maarten (Dutch part),2015Q03
Slovenia,2015Q03
Solomon Islands,2015Q03
Somalia,2015Q03
South Africa,2015Q03
Spain,2015Q03
Sri Lanka,2015Q03
Sudan,2015Q03
Sudan (...2011),2015Q03
Suriname,2015Q03
Sweden,2015Q03
Syrian Arab Republic,2015Q03
Thailand,2015Q03
Timor-Leste,2015Q03
Togo,2015Q03
Tonga,2015Q03
Trinidad and Tobago,2015Q03
Tunisia,2015Q03
Turkiye,2015Q03
Tuvalu,2015Q03
Ukraine,2015Q03
United Arab Emirates,2015Q03
United Kingdom,2015Q03
United Republic of Tanzania,2015Q03
United States,2015Q03
United States Virgin Islands,2015Q03
Uruguay,2015Q03
Vanuatu,2015Q03
Venezuela (Bolivarian Rep. of),2015Q03
Viet Nam,2015Q03
Wallis and Futuna Islands,2015Q03
Yemen,2015Q03
Albania,2015Q04
Algeria,2015Q04
American Samoa,2015Q04
Angola,2015Q04
Anguilla,2015Q04
Antigua and Barbuda,2015Q04
Argentina,2015Q04
Aruba,2015Q04
Australia,2015Q04
Bahamas,2015Q04
Bahrain,2015Q04
Bangladesh,2015Q04
Barbados,2015Q04
Belgium,2015Q04
Belize,2015Q04
Benin,2015Q04
Bermuda,2015Q04
"Bonaire, Sint Eustatius and Saba",2015Q04
Brazil,2015Q04
British Virgin Islands,2015Q04
Brunei Darussalam,2015Q04
Bulgaria,2015Q04
Cabo Verde,2015Q04
Cambodia,2015Q04
Cameroon,2015Q04
Canada,2015Q04
Cayman Islands,2015Q04
Chile,2015Q04
China,2015Q04
"China, Hong Kong SAR",2015Q04
"China, Taiwan Province of",2015Q04
Colombia,2015Q04
Comoros,2015Q04
Congo,2015Q04
Cook Islands,2015Q04
Costa Rica,2015Q04
Cote d'Ivoire,2015Q04
Croatia,2015Q04
Cuba,2015Q04
Curacao,2015Q04
Cyprus,2015Q04
Dem. Rep. of the Congo,2015Q04
Denmark,2015Q04
Djibouti,2015Q04
Dominica,2015Q04
Dominican Republic,2015Q04
Ecuador,2015Q04
Egypt,2015Q04
El Salvador,2015Q04
Equatorial Guinea,2015Q04
Eritrea,2015Q04
Estonia,2015Q04
Faroe Islands,2015Q04
Fiji,2015Q04
Finland,2015Q04
France,2015Q04
French Guiana,2015Q04
French Polynesia,2015Q04
Gabon,2015Q04
Gambia,2015Q04
Georgia,2015Q04
Germany,2015Q04
Ghana,2015Q04
Gibraltar,2015Q04
Greece,2015Q04
Greenland,2015Q04
Grenada,2015Q04
Guadeloupe,2015Q04
Guam,2015Q04
Guatemala,2015Q04
Guinea,2015Q04
Guinea-Bissau,2015Q04
Guyana,2015Q04
Haiti,2015Q04
Honduras,2015Q04
Iceland,2015Q04
India,2015Q04
Indonesia,2015Q04
Iran (Islamic Republic of),2015Q04
Iraq,2015Q04
Ireland,2015Q04
Israel,2015Q04
Italy,2015Q04
Jamaica,2015Q04
Japan,2015Q04
Jordan,2015Q04
Kenya,2015Q04
Kiribati,2015Q04
Kuwait,2015Q04
Latvia,2015Q04
Lebanon,2015Q04
Liberia,2015Q04
Libya,2015Q04
Lithuania,2015Q04
Madagascar,2015Q04
Malaysia,2015Q04
Maldives,2015Q04
Malta,2015Q04
Marshall Islands,2015Q04
Martinique,2015Q04
Mauritania,2015Q04
Mauritius,2015Q04
Mayotte,2015Q04
Mexico,2015Q04
Micronesia (Federated States of),2015Q04
Montenegro,2015Q04
Montserrat,2015Q04
Morocco,2015Q04
Mozambique,2015Q04
Myanmar,2015Q04
Namibia,2015Q04
Nauru,2015Q04
Netherlands (Kingdom of the),2015Q04
Netherlands Antilles,2015Q04
New Caledonia,2015Q04
New Zealand,2015Q04
Nicaragua,2015Q04
Nigeria,2015Q04
Norfolk Island,2015Q04
Northern Mariana Islands,2015Q04
Norway,2015Q04
Oman,2015Q04
Pakistan,2015Q04
Panama,2015Q04
Papua New Guinea,2015Q04
Paraguay,2015Q04
Peru,2015Q04
Philippines,2015Q04
Poland,2015Q04
Portugal,2015Q04
Puerto Rico,2015Q04
Qatar,2015Q04
Republic of Korea,2015Q04
Republic of Moldova,2015Q04
Reunion,2015Q04
Romania,2015Q04
Russian Federation,2015Q04
Saint Kitts and Nevis,2015Q04
Saint Lucia,2015Q04
Saint Vincent and the Grenadines,2015Q04
Samoa,2015Q04
Sao Tome and Principe,2015Q04
Saudi Arabia,2015Q04
Senegal,2015Q04
Serbia and Montenegro,2015Q04
Seychelles,2015Q04
Sierra Leone,2015Q04
Singapore,2015Q04
Sint Maarten (Dutch part),2015Q04
Slovenia,2015Q04
Solomon Islands,2015Q04
Somalia,2015Q04
South Africa,2015Q04
Spain,2015Q04
Sri Lanka,2015Q04
Sudan,2015Q04
Sudan (...2011),2015Q04
Suriname,2015Q04
Sweden,2015Q04
Syrian Arab Republic,2015Q04
Thailand,2015Q04
Timor-Leste,2015Q04
Togo,2015Q04
Tonga,2015Q04
Trinidad and Tobago,2015Q04
Tunisia,2015Q04
Turkiye,2015Q04
Tuvalu,2015Q04
Ukraine,2015Q04
United Arab Emirates,2015Q04
United Kingdom,2015Q04
United Republic of Tanzania,2015Q04
United States,2015Q04
United States Virgin Islands,2015Q04
Uruguay,2015Q04
Vanuatu,2015Q04
Venezuela (Bolivarian Rep. of),2015Q04
Viet Nam,2015Q04
Wallis and Futuna Islands,2015Q04
Yemen,2015Q04
Albania,2016Q01
Algeria,2016Q01
American Samoa,2016Q01
Angola,2016Q01
Anguilla,2016Q01
Antigua and Barbuda,2016Q01
Argentina,2016Q01
Aruba,2016Q01
Australia,2016Q01
Bahamas,2016Q01
Bahrain,2016Q01
Bangladesh,2016Q01
Barbados,2016Q01
Belgium,2016Q01
Belize,2016Q01
Benin,2016Q01
Bermuda,2016Q01
"Bonaire, Sint Eustatius and Saba",2016Q01
Brazil,2016Q01
British Virgin Islands,2016Q01
Brunei Darussalam,2016Q01
Bulgaria,2016Q01
Cabo Verde,2016Q01
Cambodia,2016Q01
Cameroon,2016Q01
Canada,2016Q01
Cayman Islands,2016Q01
Chile,2016Q01
China,2016Q01
"China, Hong Kong SAR",2016Q01
"China, Taiwan Province of",2016Q01
Colombia,2016Q01
Comoros,2016Q01
Congo,2016Q01
Cook Islands,2016Q01
Costa Rica,2016Q01
Cote d'Ivoire,2016Q01
Croatia,2016Q01
Cuba,2016Q01
Curacao,2016Q01
Cyprus,2016Q01
Dem. Rep. of the Congo,2016Q01
Denmark,2016Q01
Djibouti,2016Q01
Dominica,2016Q01
Dominican Republic,2016Q01
Ecuador,2016Q01
Egypt,2016Q01
El Salvador,2016Q01
Equatorial Guinea,2016Q01
Eritrea,2016Q01
Estonia,2016Q01
Faroe Islands,2016Q01
Fiji,2016Q01
Finland,2016Q01
France,2016Q01
French Guiana,2016Q01
French Polynesia,2016Q01
Gabon,2016Q01
Gambia,2016Q01
Georgia,2016Q01
Germany,2016Q01
Ghana,2016Q01
Gibraltar,2016Q01
Greece,2016Q01
Greenland,2016Q01
Grenada,2016Q01
Guadeloupe,2016Q01
Guam,2016Q01
Guatemala,2016Q01
Guinea,2016Q01
Guinea-Bissau,2016Q01
Guyana,2016Q01
Haiti,2016Q01
Honduras,2016Q01
Iceland,2016Q01
India,2016Q01
Indonesia,2016Q01
Iran (Islamic Republic of),2016Q01
Iraq,2016Q01
Ireland,2016Q01
Israel,2016Q01
Italy,2016Q01
Jamaica,2016Q01
Japan,2016Q01
Jordan,2016Q01
Kenya,2016Q01
Kiribati,2016Q01
Kuwait,2016Q01
Latvia,2016Q01
Lebanon,2016Q01
Liberia,2016Q01
Libya,2016Q01
Lithuania,2016Q01
Madagascar,2016Q01
Malaysia,2016Q01
Maldives,2016Q01
Malta,2016Q01
Marshall Islands,2016Q01
Martinique,2016Q01
Mauritania,2016Q01
Mauritius,2016Q01
Mayotte,2016Q01
Mexico,2016Q01
Micronesia (Federated States of),2016Q01
Montenegro,2016Q01
Montserrat,2016Q01
Morocco,2016Q01
Mozambique,2016Q01
Myanmar,2016Q01
Namibia,2016Q01
Nauru,2016Q01
Netherlands (Kingdom of the),2016Q01
Netherlands Antilles,2016Q01
New Caledonia,2016Q01
New Zealand,2016Q01
Nicaragua,2016Q01
Nigeria,2016Q01
Norfolk Island,2016Q01
Northern Mariana Islands,2016Q01
Norway,2016Q01
Oman,2016Q01
Pakistan,2016Q01
Panama,2016Q01
Papua New Guinea,2016Q01
Paraguay,2016Q01
Peru,2016Q01
Philippines,2016Q01
Poland,2016Q01
Portugal,2016Q01
Puerto Rico,2016Q01
Qatar,2016Q01
Republic of Korea,2016Q01
Republic of Moldova,2016Q01
Reunion,2016Q01
Romania,2016Q01
Russian Federation,2016Q01
Saint Kitts and Nevis,2016Q01
Saint Lucia,2016Q01
Saint Vincent and the Grenadines,2016Q01
Samoa,2016Q01
Sao Tome and Principe,2016Q01
Saudi Arabia,2016Q01
Senegal,2016Q01
Serbia and Montenegro,2016Q01
Seychelles,2016Q01
Sierra Leone,2016Q01
Singapore,2016Q01
Sint Maarten (Dutch part),2016Q01
Slovenia,2016Q01
Solomon Islands,2016Q01
Somalia,2016Q01
South Africa,2016Q01
Spain,2016Q01
Sri Lanka,2016Q01
Sudan,2016Q01
Sudan (...2011),2016Q01
Suriname,2016Q01
Sweden,2016Q01
Syrian Arab Republic,2016Q01
Thailand,2016Q01
Timor-Leste,2016Q01
Togo,2016Q01
Tonga,2016Q01
Trinidad and Tobago,2016Q01
Tunisia,2016Q01
Turkiye,2016Q01
Tuvalu,2016Q01
Ukraine,2016Q01
United Arab Emirates,2016Q01
United Kingdom,2016Q01
United Republic of Tanzania,2016Q01
United States,2016Q01
United States Virgin Islands,2016Q01
Uruguay,2016Q01
Vanuatu,2016Q01
Venezuela (Bolivarian Rep. of),2016Q01
Viet Nam,2016Q01
Wallis and Futuna Islands,2016Q01
Yemen,2016Q01
Albania,2016Q02
Algeria,2016Q02
American Samoa,2016Q02
Angola,2016Q02
Anguilla,2016Q02
Antigua and Barbuda,2016Q02
Argentina,2016Q02
Aruba,2016Q02
Australia,2016Q02
Bahamas,2016Q02
Bahrain,2016Q02
Bangladesh,2016Q02
Barbados,2016Q02
Belgium,2016Q02
Belize,2016Q02
Benin,2016Q02
Bermuda,2016Q02
"Bonaire, Sint Eustatius and Saba",2016Q02
Brazil,2016Q02
British Virgin Islands,2016Q02
Brunei Darussalam,2016Q02
Bulgaria,2016Q02
Cabo Verde,2016Q02
Cambodia,2016Q02
Cameroon,2016Q02
Canada,2016Q02
Cayman Islands,2016Q02
Chile,2016Q02
China,2016Q02
"China, Hong Kong SAR",2016Q02
"China, Taiwan Province of",2016Q02
Colombia,2016Q02
Comoros,2016Q02
Congo,2016Q02
Cook Islands,2016Q02
Costa Rica,2016Q02
Cote d'Ivoire,2016Q02
Croatia,2016Q02
Cuba,2016Q02
Curacao,2016Q02
Cyprus,2016Q02
Dem. Rep. of the Congo,2016Q02
Denmark,2016Q02
Djibouti,2016Q02
Dominica,2016Q02
Dominican Republic,2016Q02
Ecuador,2016Q02
Egypt,2016Q02
El Salvador,2016Q02
Equatorial Guinea,2016Q02
Eritrea,2016Q02
Estonia,2016Q02
Faroe Islands,2016Q02
Fiji,2016Q02
Finland,2016Q02
France,2016Q02
French Guiana,2016Q02
French Polynesia,2016Q02
Gabon,2016Q02
Gambia,2016Q02
Georgia,2016Q02
Germany,2016Q02
Ghana,2016Q02
Gibraltar,2016Q02
Greece,2016Q02
Greenland,2016Q02
Grenada,2016Q02
Guadeloupe,2016Q02
Guam,2016Q02
Guatemala,2016Q02
Guinea,2016Q02
Guinea-Bissau,2016Q02
Guyana,2016Q02
Haiti,2016Q02
Honduras,2016Q02
Iceland,2016Q02
India,2016Q02
Indonesia,2016Q02
Iran (Islamic Republic of),2016Q02
Iraq,2016Q02
Ireland,2016Q02
Israel,2016Q02
Italy,2016Q02
Jamaica,2016Q02
Japan,2016Q02
Jordan,2016Q02
Kenya,2016Q02
Kiribati,2016Q02
Kuwait,2016Q02
Latvia,2016Q02
Lebanon,2016Q02
Liberia,2016Q02
Libya,2016Q02
Lithuania,2016Q02
Madagascar,2016Q02
Malaysia,2016Q02
Maldives,2016Q02
Malta,2016Q02
Marshall Islands,2016Q02
Martinique,2016Q02
Mauritania,2016Q02
Mauritius,2016Q02
Mayotte,2016Q02
Mexico,2016Q02
Micronesia (Federated States of),2016Q02
Montenegro,2016Q02
Montserrat,2016Q02
Morocco,2016Q02
Mozambique,2016Q02
Myanmar,2016Q02
Namibia,2016Q02
Nauru,2016Q02
Netherlands (Kingdom of the),2016Q02
Netherlands Antilles,2016Q02
New Caledonia,2016Q02
New Zealand,2016Q02
Nicaragua,2016Q02
Nigeria,2016Q02
Norfolk Island,2016Q02
Northern Mariana Islands,2016Q02
Norway,2016Q02
Oman,2016Q02
Pakistan,2016Q02
Palau,2016Q02
Panama,2016Q02
Papua New Guinea,2016Q02
Paraguay,2016Q02
Peru,2016Q02
Philippines,2016Q02
Poland,2016Q02
Portugal,2016Q02
Puerto Rico,2016Q02
Qatar,2016Q02
Republic of Korea,2016Q02
Republic of Moldova,2016Q02
Reunion,2016Q02
Romania,2016Q02
Russian Federation,2016Q02
Saint Kitts and Nevis,2016Q02
Saint Lucia,2016Q02
Saint Vincent and the Grenadines,2016Q02
Samoa,2016Q02
Sao Tome and Principe,2016Q02
Saudi Arabia,2016Q02
Senegal,2016Q02
Serbia and Montenegro,2016Q02
Seychelles,2016Q02
Sierra Leone,2016Q02
Singapore,2016Q02
Sint Maarten (Dutch part),2016Q02
Slovenia,2016Q02
Solomon Islands,2016Q02
Somalia,2016Q02
South Africa,2016Q02
Spain,2016Q02
Sri Lanka,2016Q02
Sudan,2016Q02
Sudan (...2011),2016Q02
Suriname,2016Q02
Sweden,2016Q02
Syrian Arab Republic,2016Q02
Thailand,2016Q02
Timor-Leste,2016Q02
Togo,2016Q02
Tonga,2016Q02
Trinidad and Tobago,2016Q02
Tunisia,2016Q02
Turkiye,2016Q02
Tuvalu,2016Q02
Ukraine,2016Q02
United Arab Emirates,2016Q02
United Kingdom,2016Q02
United Republic of Tanzania,2016Q02
United States,2016Q02
United States Virgin Islands,2016Q02
Uruguay,2016Q02
Vanuatu,2016Q02
Venezuela (Bolivarian Rep. of),2016Q02
Viet Nam,2016Q02
Wallis and Futuna Islands,2016Q02
Yemen,2016Q02
Albania,2016Q03
Algeria,2016Q03
American Samoa,2016Q03
Angola,2016Q03
Anguilla,2016Q03
Antigua and Barbuda,2016Q03
Argentina,2016Q03
Aruba,2016Q03
Australia,2016Q03
Bahamas,2016Q03
